"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","The rear of the vehicle is clearly visible, showing significant damage to the bumper and trunk area.","none","broken_part","rear_bumper","supported","The image img_1 clearly shows the rear bumper is missing and the trunk lid is severely dented, supporting the user's claim of damage to the rear bumper area.","img_1","true","high"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","true","The images show two different vehicles, making it impossible to verify the claim for a single car.","claim_mismatch;wrong_object","unknown","front_bumper","contradicted","img_1 shows a damaged white car, while img_2 shows a completely different, undamaged Jaguar. Because the images represent different vehicles, the claim cannot be verified as consistent.","none","true","unknown"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","The windshield is clearly visible in the submitted images, allowing for inspection of the claimed damage.","none","crack","windshield","supported","Image img_1 clearly shows a significant crack spreading across the windshield, which supports the user's claim. Image img_2 shows the same vehicle's windshield in an undamaged state, likely representing the vehicle before the incident or a different angle, but the presence of the damage in img_1 is sufficient to support the claim.","img_1","true","medium"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The side mirror is clearly visible and shows significant damage.","none","broken_part","side_mirror","supported","The image img_1 clearly shows the side mirror glass is shattered and the housing is damaged, supporting the user's claim.","img_1","true","medium"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","The rear bumper and quarter panel are visible in the images, allowing for assessment of the claimed damage.","claim_mismatch;manual_review_required;user_history_risk","dent","quarter_panel","contradicted","The user claims damage to the rear bumper, but img_1 shows a dent on the rear quarter panel, not the bumper. The bumper itself appears intact in img_2. The claim is an exaggeration of the location and nature of the damage.","img_1","true","medium"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","The submitted image shows the side profile of the car, but the headlight is not visible.","damage_not_visible;wrong_angle","unknown","headlight","not_enough_information","The image provided (img_1) does not show the front of the vehicle or the headlight, making it impossible to verify the claimed crack.","none","true","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","true","The door panel is clearly visible in img_2, allowing for assessment of the claimed dent.","blurry_image","dent","door","supported","Image img_2 clearly shows a visible dent on the car door panel, supporting the user's claim.","img_2","true","medium"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","true","The hood and front end of the car are clearly visible in the image.","claim_mismatch;manual_review_required;non_original_image;user_history_risk","broken_part","body","contradicted","The image shows a vehicle with severe, extensive front-end damage and missing components, which contradicts the user's claim of a minor scratch on the hood. Additionally, the image contains watermarks, indicating it is not an original photo.","img_1","false","high"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","The laptop screen is clearly visible in the submitted image, allowing for inspection of the claimed damage.","none","crack","screen","supported","The image img_1 clearly shows the laptop screen is shattered, supporting the user's claim of display damage.","img_1","true","medium"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","The hinge area is clearly visible in the close-up image, showing physical damage.","none","broken_part","hinge","supported","Image img_1 clearly shows the hinge assembly is broken and detached from the screen housing, supporting the user's claim that the hinge is broken.","img_1","true","medium"
