"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","The rear bumper area is clearly visible and shows significant damage consistent with a collision.","none","broken_part","rear_bumper","supported","The image confirms the rear bumper cover is missing and the trunk lid is dented, supporting the user's claim of damage to the rear bumper area.","img_1","true","high"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","true","The front bumper is clearly visible in the images, allowing for an assessment of the claimed damage.","claim_mismatch","broken_part","front_bumper","contradicted","The user claimed a minor scratch on the front bumper, but the images show significant denting, deformation, and a missing fog light cover, which constitutes a much more severe level of damage than reported.","img_1","true","high"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","The windshield is clearly visible in img_1, showing significant cracking.","none","crack","windshield","supported","The image img_1 clearly shows a significant impact point and spiderweb-style cracking on the windshield, supporting the user's claim. The fact that img_2 does not show the damage is likely due to the angle or lighting, but the damage is clearly documented in img_1.","img_1","true","medium"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The side mirror is clearly visible and shows significant damage to the glass.","none","broken_part","side_mirror","supported","The image confirms the side mirror glass is shattered, supporting the user's claim of damage to the mirror.","img_1","true","medium"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","The rear bumper and surrounding area are visible in the images. While the bumper itself is undamaged, a dent is visible on the adjacent rear quarter panel.","claim_mismatch;manual_review_required;user_history_risk","dent","quarter_panel","contradicted","The user specifically claimed damage to the rear bumper, which is shown to be undamaged in img_2. While there is a dent on the rear quarter panel (img_1), the claim regarding the bumper is contradicted. Given the user's history of exaggerated claims, this requires manual review.","img_1","true","medium"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","The image shows the side profile of the car, but the headlight is not clearly visible or is obstructed by the angle, making it impossible to verify the claimed crack.","damage_not_visible;wrong_angle","unknown","headlight","not_enough_information","The submitted image does not provide a clear view of the headlight, so the claimed damage cannot be verified.","none","true","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","true","The rear passenger door is clearly visible in img_2, showing a significant dent and associated damage.","blurry_image","dent","door","supported","The images clearly show a dent on the rear passenger door, supporting the customer's claim. While img_1 is blurry, img_2 provides sufficient evidence to verify the damage.","img_2","true","medium"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","true","The image shows the front of the car, but the damage visible is catastrophic structural damage rather than the claimed scratch on the hood.","claim_mismatch;manual_review_required;non_original_image;user_history_risk","broken_part","body","contradicted","The image shows severe, structural front-end damage and appears to be a non-original stock photo, which completely contradicts the user's claim of a minor scratch on the hood.","img_1","false","high"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","The laptop screen is clearly visible and shows extensive damage consistent with the user's report of a fall.","none","glass_shatter","screen","supported","The image shows the screen is shattered, which supports the user's claim of damage following a fall. Although the user described it as a 'crack', the visual evidence of a shattered display is consistent with the reported incident.","img_1","true","high"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","The laptop hinge and bezel area are clearly visible in img_1, showing structural damage consistent with the user's claim.","blurry_image","broken_part","hinge","supported","The image img_1 clearly shows a broken bezel and structural damage to the hinge housing, supporting the user's claim that the hinge is broken and the screen wobbles.","img_1","true","medium"
